time,wx,wy,wz
0.008935928344726562,-0.18,-0.2,-0.05
0.016171932220458984,-0.12,-0.1,-0.12
0.03473210334777832,-0.01,-0.12,-0.16
0.03581595420837402,0.18,-0.12,-0.1
0.04564309120178223,0.36,-0.15,-0.02
0.055769920349121094,0.39,-0.27,0.01
0.06580090522766113,0.27,-0.39,-0.04
0.07591080665588379,0.21,-0.29,-0.09
0.08646178245544434,0.18,-0.03,-0.18
0.09634709358215332,0.12,0.16,-0.26
0.10658478736877441,0.06,0.27,-0.25
0.11775588989257812,-0.01,0.33,-0.18
0.13875293731689453,-0.17,0.38,-0.02
0.13888096809387207,-0.17,0.38,-0.02
0.14545083045959473,-0.25,0.36,0.05
0.15553593635559082,-0.32,0.38,0.14
0.16560101509094238,-0.37,0.4,0.21
0.1755540370941162,-0.36,0.39,0.25
0.18616604804992676,-0.3,0.34,0.27
0.19568490982055664,-0.19,0.24,0.25
0.20615196228027344,-0.04,0.14,0.21
0.23937678337097168,0.27,0.01,0.15
0.23950791358947754,0.27,0.01,0.15
0.23962092399597168,0.27,0.01,0.15
0.24512410163879395,0.27,0.01,0.16
0.2554149627685547,0.22,0.03,0.18
0.26524901390075684,0.14,0.08,0.22
0.2752089500427246,0.02,0.08,0.26
0.2858607769012451,-0.1,0.1,0.32
0.2951018810272217,-0.16,0.18,0.37
0.30571699142456055,-0.17,0.31,0.42
0.34021997451782227,-0.22,0.5,0.5
0.3403480052947998,-0.22,0.5,0.5
0.3406651020050049,-0.22,0.5,0.5
0.34468793869018555,-0.25,0.49,0.52
0.3550760746002197,-0.23,0.49,0.53
0.3649289608001709,-0.16,0.47,0.54
0.3749721050262451,-0.06,0.38,0.54
0.3855741024017334,0.03,0.26,0.55
0.3948090076446533,0.1,0.16,0.54
0.4053990840911865,0.15,0.1,0.51
0.417309045791626,0.16,0.12,0.49
0.4422910213470459,0.16,0.28,0.54
0.44260478019714355,0.16,0.28,0.54
0.4444139003753662,0.19,0.41,0.59
0.4546630382537842,0.22,0.49,0.63
0.46442484855651855,0.22,0.51,0.64
0.4746739864349365,0.21,0.51,0.63
0.48506999015808105,0.18,0.52,0.63
0.4950978755950928,0.15,0.49,0.64
0.5049569606781006,0.13,0.37,0.64
0.516977071762085,0.1,0.24,0.59
0.5391848087310791,0.17,0.34,0.46
0.5395448207855225,0.17,0.34,0.46
0.5440809726715088,0.27,0.51,0.47
0.5542271137237549,0.38,0.59,0.55
0.5642850399017334,0.48,0.61,0.66
0.5743319988250732,0.56,0.58,0.73
0.5849478244781494,0.58,0.52,0.71
0.5944259166717529,0.55,0.51,0.6
0.6050999164581299,0.5,0.54,0.48
0.638484001159668,0.26,0.62,0.4
0.6388170719146729,0.26,0.62,0.4
0.6389389038085938,0.26,0.62,0.4
0.6437280178070068,0.22,0.51,0.31
0.6541650295257568,0.26,0.42,0.23
0.664071798324585,0.33,0.3,0.12
0.6739969253540039,0.34,0.16,-0.02
0.6847150325775146,0.28,-0.22,-0.08
0.6944878101348877,0.08,-0.68,-0.14
0.7046599388122559,-0.17,-0.73,-0.24
0.7405359745025635,-0.67,-0.1,-0.03
0.7406680583953857,-0.67,-0.1,-0.03
0.7410109043121338,-0.67,-0.1,-0.03
0.7434289455413818,-0.66,-0.02,0.11
0.7536289691925049,-0.6,0.05,0.19
0.7636849880218506,-0.52,0.11,0.23
0.7734959125518799,-0.47,0.17,0.32
0.7845098972320557,-0.39,0.14,0.48
0.7936389446258545,-0.23,-0.35,0.71
0.8041489124298096,0.02,-1.41,0.68
0.8388359546661377,0.31,-1.86,0.04
0.8391730785369873,0.31,-1.86,0.04
0.8392930030822754,0.31,-1.86,0.04
0.8430919647216797,-0.01,-1.51,-0.28
0.8535640239715576,-0.4,-1.33,-0.76
0.8632509708404541,-0.6,-1.39,-1.21
0.8735249042510986,-0.58,-1.67,-1.52
0.884040117263794,-0.45,-2.18,-1.68
0.8934290409088135,-0.3,-2.69,-1.63
0.9041008949279785,-0.33,-2.9,-1.64
0.9390780925750732,-1.33,-3.03,-2.35
0.9394071102142334,-1.33,-3.03,-2.35
0.9395279884338379,-1.33,-3.03,-2.35
0.9428207874298096,-1.39,-3.71,-2.76
0.9532599449157715,-1.29,-4.52,-3.14
0.9631218910217285,-1.1,-5.0,-3.41
0.9748570919036865,-0.93,-5.14,-3.64
0.9830639362335205,-0.66,-4.94,-3.8
0.9939367771148682,-0.16,-4.55,-3.8
1.0039889812469482,0.56,-4.44,-3.57
1.0338869094848633,1.43,-5.32,-2.6
1.0342137813568115,1.43,-5.32,-2.6
1.0343348979949951,1.43,-5.32,-2.6
1.0428109169006348,0.5,-4.99,-3.27
1.0529019832611084,-0.49,-4.08,-4.01
1.0627567768096924,-0.88,-3.28,-4.34
1.0728669166564941,0.05,-2.96,-4.19
1.0840117931365967,2.2,-3.62,-3.65
1.0937259197235107,4.87,-4.8,-3.0
1.1036839485168457,6.5,-5.01,-2.57
1.133056879043579,2.34,-0.18,-3.05
1.1337940692901611,2.34,-0.18,-3.05
1.134639024734497,2.34,-0.18,-3.05
1.1424949169158936,1.29,2.25,-3.17
1.1526679992675781,1.0,4.32,-3.16
1.1625449657440186,1.19,5.43,-2.97
1.1731808185577393,1.91,5.96,-2.42
1.183439016342163,2.83,6.02,-1.75
1.1932439804077148,3.66,5.63,-1.25
1.2027440071105957,4.36,4.84,-0.97
1.2145040035247803,4.87,3.9,-0.96
1.2344059944152832,4.75,3.58,-1.08
1.2345850467681885,4.75,3.58,-1.08
1.2421748638153076,4.09,4.38,-1.19
1.2521378993988037,3.3,5.38,-1.34
1.2621428966522217,2.73,5.94,-1.47
1.2722270488739014,2.45,5.61,-1.61
1.2828149795532227,2.32,4.65,-1.82
1.2920458316802979,2.13,3.73,-1.95
1.3027069568634033,1.71,3.28,-1.89
1.3339459896087646,0.29,5.29,-1.09
1.3341329097747803,0.29,5.29,-1.09
1.334285020828247,0.29,5.29,-1.09
1.3418848514556885,-0.02,5.3,-1.08
1.35188889503479,-0.17,4.85,-1.33
1.3619120121002197,-0.15,4.54,-1.59
1.3725030422210693,0.04,4.45,-1.62
1.3825500011444092,0.42,4.53,-1.43
1.3918988704681396,0.86,4.4,-1.01
1.4022738933563232,0.99,4.43,-0.66
1.4332959651947021,0.38,2.49,-0.85
1.4334747791290283,0.38,2.49,-0.85
1.433624029159546,0.38,2.49,-0.85
1.441741943359375,0.55,2.02,-0.6
1.4516360759735107,0.49,2.06,-0.11
1.4616539478302002,-0.22,2.31,0.42
1.4727118015289307,-1.18,2.37,0.7
1.4825758934020996,-2.07,1.9,0.52
1.4921400547027588,-2.8,0.54,-0.05
1.502213954925537,-3.19,-1.49,-0.63
1.5342381000518799,-3.76,-5.37,0.35
1.534425973892212,-3.76,-5.37,0.35
1.534592866897583,-3.76,-5.37,0.35
1.5411088466644287,-4.59,-5.06,1.39
1.5511558055877686,-5.94,-4.24,2.16
1.5611629486083984,-7.39,-2.93,2.45
1.5718019008636475,-8.68,-1.61,2.25
1.5817301273345947,-9.42,-0.53,1.23
1.5917999744415283,-9.17,0.12,-0.02
1.6021111011505127,-8.25,0.4,-0.72
1.6365039348602295,-5.53,0.78,1.44
1.6366918087005615,-5.53,0.78,1.44
1.6368458271026611,-5.53,0.78,1.44
1.6408250331878662,-4.14,1.2,2.46
1.650791883468628,-2.69,1.12,3.03
1.6620759963989258,-1.61,0.38,3.17
1.6721270084381104,-0.94,-0.15,3.1
1.6818897724151611,-0.61,0.11,2.99
1.6910197734832764,-0.62,0.97,2.75
1.7016079425811768,-0.87,1.98,2.46
1.7146008014678955,-1.17,2.79,2.22
1.7368319034576416,-1.19,3.23,1.92
1.7370109558105469,-1.19,3.23,1.92
1.740506887435913,-0.7,2.92,1.85
1.7504260540008545,-0.07,2.46,1.68
1.7604358196258545,0.52,2.05,1.4
1.7713379859924316,0.9,1.8,1.17
1.7814390659332275,1.11,1.97,1.08
1.7904419898986816,1.39,2.48,1.06
1.8010427951812744,1.77,2.65,1.03
1.8329379558563232,4.28,0.66,0.3
1.8331170082092285,4.28,0.66,0.3
1.8332669734954834,4.28,0.66,0.3
1.8401429653167725,4.67,0.31,-0.0
1.8503310680389404,4.27,0.35,-0.35
1.861725091934204,2.91,0.3,-0.67
1.8717100620269775,0.73,-0.22,-0.77
1.8813989162445068,-1.88,-1.0,-0.62
1.8906059265136719,-4.4,-1.7,-0.41
1.900954008102417,-5.66,-1.72,-0.03
1.9137260913848877,-5.53,-1.27,0.34
1.935304880142212,-2.3,-0.49,0.49
1.935486078262329,-2.3,-0.49,0.49
1.9398789405822754,-0.3,-0.95,0.3
1.949897050857544,1.23,-1.66,0.19
1.959873914718628,2.13,-2.23,0.26
1.9706428050994873,2.46,-2.49,0.51
1.9803719520568848,2.39,-2.3,0.85
1.9900801181793213,2.04,-1.77,1.13
2.000286817550659,1.49,-1.17,1.22
2.0329339504241943,-0.04,0.0,1.02
2.033113956451416,-0.04,0.0,1.02
2.0332629680633545,-0.04,0.0,1.02
2.0395548343658447,0.01,0.3,1.06
2.0495240688323975,0.24,0.35,1.02
2.0604169368743896,0.63,0.26,0.91
2.0699918270111084,1.08,0.11,0.76
2.0801827907562256,1.48,-0.06,0.6
2.0898730754852295,1.77,-0.2,0.43
2.1000778675079346,1.83,-0.26,0.3
2.134230852127075,0.66,0.57,0.03
2.1344120502471924,0.66,0.57,0.03
2.13456392288208,0.66,0.57,0.03
2.1391937732696533,0.09,0.88,-0.06
2.149533987045288,-0.27,1.07,-0.12
2.161195993423462,-0.36,1.13,-0.15
2.169559955596924,-0.21,1.07,-0.23
2.1798629760742188,0.12,0.95,-0.34
2.1893298625946045,0.52,0.76,-0.45
2.199800968170166,0.88,0.59,-0.51
2.2325937747955322,0.51,0.66,-0.5
2.2327749729156494,0.51,0.66,-0.5
2.2329680919647217,0.51,0.66,-0.5
2.2391021251678467,-0.09,0.77,-0.61
2.2489068508148193,-0.51,1.12,-0.83
2.259753942489624,-0.47,1.7,-0.96
2.269529104232788,-0.11,2.07,-0.87
2.279637098312378,0.17,1.87,-0.57
2.2892348766326904,0.08,1.18,-0.34
2.299628973007202,-0.34,0.31,-0.44
2.3317129611968994,0.52,1.03,-0.32
2.3318917751312256,0.52,1.03,-0.32
2.332041025161743,0.52,1.03,-0.32
2.3388099670410156,0.99,0.84,0.16
2.3487818241119385,0.71,-0.19,0.58
2.360071897506714,-0.27,-1.89,0.75
2.3699018955230713,-1.22,-3.36,0.74
2.3798038959503174,-1.28,-3.78,0.69
2.388936996459961,-0.43,-3.32,0.76
2.39909291267395,0.44,-2.39,0.88
2.4111530780792236,0.39,-1.58,1.19
2.4312031269073486,-1.1,-0.21,2.14
2.431381940841675,-1.1,-0.21,2.14
2.4383180141448975,-1.67,-0.21,2.24
2.448333978652954,-1.99,-0.28,2.25
2.4591259956359863,-2.05,0.06,2.36
2.468794107437134,-1.76,0.88,2.69
