time,ax,ay,az,atotal
0.0042171478271484375,-0.29,-0.52,-0.14,0.61
0.007395267486572266,-0.3,-0.48,-0.18,0.59
0.009052276611328125,-0.3,-0.4,-0.25,0.55
0.01044321060180664,-0.3,-0.33,-0.33,0.55
0.011649131774902344,-0.29,-0.28,-0.34,0.52
0.013543128967285156,-0.27,-0.29,-0.32,0.5
0.015463113784790039,-0.22,-0.3,-0.28,0.46
0.042997121810913086,-0.15,-0.31,-0.29,0.45
0.04392719268798828,-0.09,-0.32,-0.31,0.45
0.04865908622741699,-0.04,-0.33,-0.32,0.46
0.04966020584106445,-0.05,-0.32,-0.3,0.44
0.06538724899291992,-0.05,-0.3,-0.23,0.38
0.06657719612121582,-0.08,-0.3,-0.19,0.36
0.08213520050048828,-0.09,-0.29,-0.15,0.33
0.08330821990966797,-0.09,-0.27,-0.11,0.3
0.09900617599487305,-0.09,-0.21,-0.04,0.23
0.10201406478881836,-0.08,-0.16,0.03,0.18
0.12819814682006836,-0.06,-0.16,0.08,0.18
0.1289520263671875,-0.01,-0.15,0.05,0.15
0.12984323501586914,0.06,-0.14,-0.02,0.15
0.1494612693786621,0.1,-0.11,-0.14,0.2
0.15077614784240723,0.13,-0.11,-0.28,0.32
0.16534113883972168,0.16,-0.08,-0.32,0.36
0.16692018508911133,0.19,-0.06,-0.32,0.37
0.18329429626464844,0.21,-0.06,-0.3,0.37
0.184906005859375,0.24,-0.03,-0.23,0.33
0.2016620635986328,0.23,-0.02,-0.22,0.31
0.2182760238647461,0.19,0.02,-0.19,0.26
0.2192530632019043,0.17,0.06,-0.2,0.26
0.22067618370056152,0.17,0.12,-0.26,0.33
0.22247314453125,0.17,0.16,-0.33,0.4
0.22384119033813477,0.2,0.16,-0.38,0.45
0.22535109519958496,0.24,0.14,-0.35,0.44
0.22706222534179688,0.25,0.16,-0.3,0.42
0.2288990020751953,0.23,0.19,-0.23,0.37
0.2306070327758789,0.18,0.22,-0.15,0.32
0.23284006118774414,0.17,0.24,-0.08,0.3
0.2593650817871094,0.15,0.2,-0.05,0.25
