time,ax,ay,az,atotal
0.010542154312133789,0.5,-0.49,0.48,0.84
0.011476993560791016,0.77,-0.45,1.12,1.43
0.012262105941772461,0.89,-0.21,1.32,1.6
0.013084173202514648,0.91,0.08,1.04,1.38
0.018418312072753906,0.97,0.12,0.26,1.01
0.028388023376464844,0.94,0.26,-0.62,1.15
0.038851261138916016,0.79,0.37,-1.27,1.54
0.0484461784362793,0.42,0.32,-1.56,1.64
0.059388160705566406,0.11,0.24,-1.66,1.68
0.06903314590454102,-0.03,0.14,-1.61,1.61
0.10172414779663086,-0.01,0.09,-1.22,1.22
0.10305500030517578,0.28,0.12,-0.67,0.73
0.10402297973632812,0.4,-0.03,-0.34,0.52
0.12321019172668457,0.3,-0.06,-0.16,0.34
0.12418603897094727,0.14,0.06,-0.1,0.18
0.13922810554504395,0.05,0.12,-0.19,0.23
0.14063215255737305,0.11,0.18,-0.41,0.46
0.1539602279663086,0.16,0.26,-0.65,0.71
0.1590571403503418,0.19,0.29,-0.75,0.82
0.17238426208496094,0.22,0.21,-0.53,0.61
0.20225310325622559,0.4,-0.04,0.02,0.4
0.2035071849822998,0.6,-0.14,0.53,0.81
0.20457029342651367,0.62,-0.17,0.62,0.89
0.22313499450683594,0.5,-0.22,0.31,0.62
0.22414016723632812,0.33,-0.23,-0.05,0.4
0.23941612243652344,0.16,-0.1,-0.35,0.39
0.2409510612487793,0.08,0.04,-0.45,0.45
0.25377416610717773,0.12,-0.1,-0.25,0.29
0.2594151496887207,0.04,-0.45,0.09,0.46
0.27122926712036133,0.29,0.14,0.32,0.45
0.3020319938659668,0.73,0.16,-0.23,0.78
0.303239107131958,1.17,-0.03,-1.03,1.55
0.3042581081390381,1.18,-0.04,-1.65,2.02
0.3087282180786133,0.86,0.05,-1.88,2.06
0.31894826889038086,0.39,-0.04,-1.58,1.62
0.3289313316345215,0.06,-0.24,-0.96,0.99
0.33985424041748047,0.03,-0.42,-0.48,0.63
0.34924817085266113,0.29,-0.48,-0.41,0.69
0.359417200088501,0.65,-0.38,-0.62,0.97
0.3697021007537842,0.99,-0.31,-0.93,1.39
0.4021761417388916,1.17,-0.43,-1.31,1.8
0.4033522605895996,1.12,-0.66,-1.62,2.07
0.4043571949005127,0.9,-0.97,-1.65,2.11
0.4232020378112793,0.59,-1.26,-1.79,2.26
0.4241771697998047,0.66,-1.46,-2.09,2.63
0.4394512176513672,1.04,-1.7,-2.26,3.01
0.44095420837402344,1.52,-1.69,-2.61,3.46
0.45397210121154785,1.88,-1.85,-3.13,4.09
0.45958518981933594,2.12,-2.3,-3.87,4.97
0.47219324111938477,1.71,-1.84,-4.41,5.07
0.5033411979675293,1.15,-0.96,-4.33,4.58
0.5045211315155029,2.12,-1.16,-3.62,4.35
0.5055301189422607,3.54,-1.42,-2.77,4.71
0.5229229927062988,4.67,-1.48,-1.88,5.24
0.5239253044128418,4.9,-1.27,-0.89,5.13
0.5388212203979492,4.71,-0.76,-0.19,4.77
0.5403079986572266,5.58,-0.1,-0.62,5.61
0.5546612739562988,7.28,0.42,-1.73,7.49
0.5593981742858887,9.09,0.84,-2.1,9.36
0.5719611644744873,9.98,1.38,-1.47,10.18
0.6031742095947266,10.17,0.96,0.53,10.22
0.6043572425842285,9.96,0.39,3.85,10.68
0.6053562164306641,10.02,-0.07,7.25,12.36
0.6226940155029297,9.22,0.19,8.7,12.67
0.6236810684204102,8.05,1.29,8.14,11.52
0.6390953063964844,6.62,2.56,6.97,9.94
0.6405940055847168,4.53,3.8,6.46,8.75
0.6547942161560059,3.22,4.52,7.1,9.01
0.6597092151641846,2.99,4.53,9.53,10.96
0.6719002723693848,3.27,4.38,14.01,15.03
0.7048220634460449,4.18,4.45,19.05,20.0
0.7060341835021973,4.55,4.25,22.84,23.67
0.7071123123168945,3.13,4.12,24.29,24.83
0.7240562438964844,1.04,4.27,22.89,23.3
0.7250211238861084,-0.61,4.3,20.58,21.03
0.739983081817627,-1.52,4.53,18.93,19.52
0.7413630485534668,-0.46,5.42,17.8,18.61
0.7544701099395752,1.57,6.53,16.45,17.76
0.7599482536315918,2.36,7.31,15.16,16.99
0.7714700698852539,2.0,7.1,14.5,16.26
0.8029201030731201,1.34,6.46,13.81,15.3
0.8041501045227051,1.19,5.59,12.69,13.91
0.8049252033233643,1.45,6.0,11.76,13.28
0.8231210708618164,2.72,6.68,13.05,14.91
0.824113130569458,3.56,6.81,15.55,17.34
0.8396081924438477,2.69,6.69,17.24,18.68
0.8409872055053711,1.15,5.1,15.8,16.64
0.8545112609863281,-1.53,3.43,11.9,12.47
0.8597531318664551,-4.76,1.83,7.13,8.76
0.871577262878418,-7.78,0.42,2.76,8.26
0.901881217956543,-10.7,-0.89,0.02,10.73
0.9031631946563721,-14.0,-1.62,-0.73,14.11
0.9040961265563965,-17.45,-2.42,-0.06,17.61
0.9232192039489746,-20.72,-3.12,2.42,21.09
0.9242172241210938,-22.31,-4.37,6.15,23.55
0.9400300979614258,-22.74,-5.84,11.15,25.99
0.9413681030273438,-22.4,-7.16,17.06,29.05
0.9546701908111572,-20.76,-8.27,21.77,31.19
0.9598581790924072,-17.9,-8.88,23.55,30.88
0.9717812538146973,-14.16,-8.95,22.39,27.96
1.0005581378936768,-10.71,-8.68,19.8,24.12
1.0017800331115723,-8.03,-8.71,16.15,20.02
1.0027880668640137,-6.44,-9.56,12.76,17.19
1.009486198425293,-5.58,-11.18,11.2,16.78
1.0206642150878906,-5.42,-13.05,11.75,18.37
1.0299651622772217,-4.81,-14.97,11.93,19.73
1.0398192405700684,-3.05,-16.71,10.58,20.01
1.04982328414917,-1.69,-17.99,8.13,19.81
1.0601592063903809,-1.01,-18.57,5.05,19.27
1.0703961849212646,-0.04,-18.89,1.76,18.97
1.101147174835205,1.37,-18.53,-0.74,18.59
1.102229118347168,3.5,-18.43,-2.01,18.86
1.103219985961914,6.04,-18.79,-1.93,19.83
1.1098132133483887,8.86,-18.99,-1.6,21.01
1.1194851398468018,11.77,-18.73,-2.32,22.24
1.1301732063293457,13.83,-18.18,-3.11,23.05
1.1400701999664307,15.17,-17.9,-3.79,23.76
1.1500821113586426,16.36,-16.93,-5.16,24.1
1.1607191562652588,17.33,-15.82,-6.09,24.24
1.1705172061920166,17.13,-14.6,-6.41,23.4
1.2032811641693115,16.31,-13.32,-7.28,22.28
1.204380989074707,15.13,-12.4,-8.74,21.42
1.2053711414337158,13.8,-11.66,-10.2,20.74
1.2232561111450195,12.36,-11.32,-12.26,20.76
1.224825143814087,9.28,-9.59,-14.0,19.34
1.2394261360168457,5.12,-7.11,-12.58,15.33
1.2412731647491455,2.7,-5.39,-8.56,10.46
1.2554621696472168,2.68,-2.94,-3.59,5.35
1.260085105895996,3.29,0.93,1.66,3.8
1.2725353240966797,4.53,4.9,5.12,8.41
1.3035011291503906,6.1,9.0,3.43,11.4
1.3046271800994873,7.82,12.06,-3.72,14.84
1.3055930137634277,7.46,14.39,-11.41,19.82
1.3233232498168945,4.88,15.45,-17.52,23.86
1.3248910903930664,5.06,16.24,-19.15,25.61
1.3391261100769043,10.67,15.1,-14.48,23.48
1.3411550521850586,16.79,13.1,-4.8,21.83
1.3551130294799805,19.53,9.59,1.57,21.81
1.3601131439208984,17.64,6.64,2.25,18.98
1.3728241920471191,13.71,5.24,0.14,14.67
1.4056673049926758,11.73,4.32,-1.4,12.57
1.4068050384521484,10.2,3.67,-0.32,10.84
1.407778263092041,10.46,2.94,0.93,10.9
1.4233360290527344,13.85,0.01,2.46,14.06
1.4248223304748535,14.2,-3.86,9.66,17.6
1.4401640892028809,10.89,-5.74,18.06,21.85
1.4419481754302979,7.06,-6.22,20.94,22.95
1.4556760787963867,3.12,-6.11,19.32,20.5
1.4604661464691162,0.38,-5.81,16.22,17.23
1.4726991653442383,-0.05,-4.74,12.7,13.55
1.501554012298584,-1.15,-4.45,10.05,11.05
1.5027432441711426,-3.03,-4.76,9.17,10.76
1.5037341117858887,-4.58,-4.61,10.15,12.05
1.5098352432250977,-5.24,-4.33,11.63,13.47
1.5199661254882812,-5.83,-3.89,13.06,14.82
1.530588150024414,-6.66,-3.15,13.73,15.58
1.5407609939575195,-6.89,-2.2,13.71,15.5
1.5506300926208496,-6.32,-0.95,13.45,14.89
1.561023235321045,-6.2,0.54,12.87,14.29
1.5705890655517578,-5.6,1.87,11.37,12.81
1.6043741703033447,-3.15,2.99,9.45,10.4
1.6058611869812012,0.48,4.25,8.43,9.45
1.6068651676177979,4.12,5.24,8.05,10.45
1.623462200164795,5.86,5.4,7.25,10.77
1.6249632835388184,4.99,5.04,5.74,9.12
1.640672206878662,2.47,4.29,4.19,6.48
1.6424012184143066,-0.4,3.21,3.61,4.84
1.655825138092041,-2.88,2.32,4.03,5.46
1.660588264465332,-4.25,1.33,4.1,6.05
1.6737470626831055,-4.98,0.19,3.42,6.04
1.7020981311798096,-5.87,-0.95,2.13,6.31
1.7032532691955566,-6.48,-2.36,0.23,6.9
1.70426607131958,-7.19,-3.92,-1.41,8.3
1.7100200653076172,-9.0,-5.72,-1.86,10.82
1.7201042175292969,-11.49,-7.65,-1.39,13.87
1.730638027191162,-13.98,-9.19,-0.64,16.74
1.7406351566314697,-15.61,-10.0,-0.15,18.53
1.7503910064697266,-15.21,-10.23,0.18,18.33
1.760986328125,-12.57,-9.93,1.05,16.05
1.7708072662353516,-8.78,-9.79,2.23,13.33
1.807295322418213,-4.86,-9.61,3.76,11.4
1.8086931705474854,-2.66,-9.23,5.31,10.97
1.8097410202026367,-1.83,-9.75,5.84,11.51
1.823801040649414,-1.47,-11.02,6.63,12.94
1.8250732421875,-2.33,-12.12,8.32,14.88
1.8408923149108887,-4.82,-11.2,9.33,15.35
1.8426451683044434,-7.25,-8.43,8.1,13.75
1.8560371398925781,-9.64,-3.93,6.91,12.49
1.8611903190612793,-12.17,1.49,7.81,14.53
1.8732621669769287,-12.43,6.23,11.32,17.92
1.9075660705566406,-9.64,9.61,16.85,21.66
1.908635139465332,-4.53,12.16,22.05,25.58
1.9095921516418457,2.04,13.95,25.15,28.83
1.9237871170043945,9.18,14.35,24.21,29.6
1.9250822067260742,13.49,13.26,20.68,28.02
1.9395301342010498,12.22,12.0,16.87,24.04
1.9412751197814941,8.6,10.98,15.07,20.53
1.9559550285339355,6.6,9.44,16.72,20.3
1.9608793258666992,6.56,7.35,19.2,21.57
1.9733200073242188,8.65,5.47,18.37,21.02
2.002545118331909,10.9,3.87,13.43,17.72
2.0037851333618164,11.59,2.66,5.7,13.18
2.0048022270202637,10.03,1.53,-2.46,10.43
2.0102572441101074,6.51,0.56,-7.84,10.2
2.0203611850738525,5.46,-3.3,-10.65,12.41
2.030839204788208,1.93,-4.75,-8.03,9.52
2.040722131729126,-0.98,-6.48,-1.73,6.77
2.0505311489105225,-0.57,-8.7,1.2,8.8
2.0614123344421387,1.31,-10.1,0.72,10.21
2.0710372924804688,1.67,-10.75,-1.04,10.92
2.1036012172698975,0.1,-10.55,-1.51,10.65
2.1047792434692383,-0.46,-11.0,-0.5,11.02
2.1057941913604736,0.26,-11.21,1.27,11.28
2.124511241912842,1.35,-11.16,2.4,11.49
2.1255083084106445,1.9,-11.27,1.53,11.53
2.1411001682281494,1.48,-11.36,-0.87,11.48
2.142552137374878,0.9,-10.8,-4.07,11.57
2.156083106994629,0.46,-10.09,-7.11,12.35
2.160780191421509,0.08,-9.55,-9.0,13.12
2.173490047454834,-0.38,-8.76,-9.61,13.0
2.2050201892852783,-0.26,-8.37,-9.8,12.89
2.2061190605163574,0.48,-8.03,-9.87,12.73
2.207099199295044,1.07,-7.08,-8.38,11.02
2.22432017326355,2.47,-6.82,-6.62,9.82
2.2259349822998047,4.36,-6.45,-5.1,9.3
2.2419590950012207,6.22,-6.23,-3.71,9.55
2.2435381412506104,7.12,-6.0,-2.75,9.7
2.2568650245666504,6.66,-5.86,-2.57,9.23
2.261195182800293,5.47,-5.8,-2.9,8.48
2.2735180854797363,4.23,-5.38,-3.5,7.68
2.3060901165008545,3.27,-5.07,-4.17,7.33
2.307277202606201,2.35,-4.87,-4.67,7.14
2.3082690238952637,1.56,-4.73,-5.19,7.19
2.324172019958496,0.95,-4.57,-5.8,7.44
2.325693130493164,0.65,-4.39,-6.47,7.84
2.342175006866455,0.58,-4.08,-7.0,8.12
2.3440301418304443,0.59,-3.78,-7.34,8.27
2.3568363189697266,0.79,-3.46,-7.63,8.41
