time,wx,wy,wz
0.00664520263671875,0.53,0.13,-0.1
0.012274026870727539,0.66,0.04,-0.09
0.019523143768310547,0.8,-0.01,-0.07
0.04507112503051758,1.01,-0.16,-0.11
0.04701995849609375,1.01,-0.16,-0.11
0.04968404769897461,1.08,-0.27,-0.13
0.05978703498840332,1.12,-0.39,-0.14
0.0697321891784668,1.16,-0.46,-0.15
0.07995414733886719,1.18,-0.34,-0.17
0.0900111198425293,1.03,0.17,-0.13
0.10035896301269531,0.83,0.56,-0.02
0.11003804206848145,0.67,0.83,0.08
0.12060213088989258,0.64,0.86,0.23
0.14902210235595703,0.95,0.39,0.6
0.1513361930847168,1.2,-0.04,0.92
0.15285587310791016,1.2,-0.04,0.92
0.16022205352783203,1.5,-0.41,1.06
0.17023706436157227,1.92,-0.44,0.96
0.1800370216369629,2.37,-0.2,0.65
0.19059205055236816,2.7,0.09,0.2
0.2007122039794922,2.75,0.34,-0.27
0.21108388900756836,2.72,0.5,-0.57
0.2210521697998047,2.62,0.38,-0.7
0.2505068778991699,0.8,-0.55,-1.62
0.2527620792388916,0.8,-0.55,-1.62
0.2544710636138916,0.8,-0.55,-1.62
0.2604532241821289,-0.02,-0.93,-1.77
0.27115488052368164,-0.48,-0.92,-1.19
0.28093719482421875,-0.79,-0.55,-0.18
0.2907719612121582,-1.2,-0.05,0.67
0.30184102058410645,-1.85,0.23,1.03
0.3117489814758301,-2.54,0.28,1.05
0.32155704498291016,-3.03,0.15,0.94
0.35098791122436523,-3.59,-0.64,0.86
0.3535010814666748,-3.59,-0.64,0.86
0.355302095413208,-3.59,-0.64,0.86
0.36086416244506836,-3.51,-0.74,0.75
0.37131309509277344,-3.33,-0.79,0.31
0.38101816177368164,-2.87,-0.25,-0.31
0.3915882110595703,-2.19,0.01,-0.7
0.4016540050506592,-1.55,0.01,-0.89
0.4118618965148926,-1.11,-0.35,-0.92
0.42214298248291016,-0.92,-0.8,-0.94
