time,ax,ay,az,atotal
0.007234096527099609,-0.06,-0.32,-0.41,0.52
0.015861988067626953,0.16,-0.6,-0.32,0.69
0.0259859561920166,0.23,-0.87,-0.05,0.9
0.03601503372192383,0.2,-1.0,0.2,1.03
0.046898841857910156,0.14,-1.03,0.42,1.12
0.05674409866333008,0.03,-0.97,0.49,1.08
0.06720209121704102,-0.11,-0.8,0.43,0.91
0.08763790130615234,-0.29,-0.62,0.31,0.75
0.0891728401184082,-0.35,-0.5,0.18,0.63
0.0964210033416748,-0.27,-0.48,0.05,0.55
0.10696601867675781,-0.11,-0.52,-0.07,0.53
0.1167001724243164,0.01,-0.62,-0.1,0.62
0.12766790390014648,0.11,-0.75,-0.08,0.76
0.1375141143798828,0.22,-0.86,-0.11,0.89
0.14744997024536133,0.25,-0.93,-0.15,0.97
0.15743684768676758,0.22,-0.93,-0.06,0.95
0.16771411895751953,0.07,-0.93,0.09,0.93
0.19369983673095703,-0.11,-0.8,0.13,0.81
0.19517993927001953,-0.22,-0.73,0.07,0.76
0.197113037109375,-0.23,-0.74,-0.06,0.77
0.20722007751464844,-0.19,-0.76,-0.14,0.79
0.2195148468017578,-0.17,-0.83,-0.07,0.85
0.22739315032958984,-0.17,-0.92,0.02,0.93
0.23797988891601562,-0.11,-0.96,0.15,0.97
0.24825811386108398,-0.02,-1.07,0.22,1.09
0.25817012786865234,-0.11,-1.04,0.14,1.05
0.2688610553741455,-0.2,-1.01,0.11,1.03
0.29537391662597656,-0.21,-0.94,0.05,0.96
0.2968001365661621,-0.19,-0.92,0.03,0.93
0.29778385162353516,-0.19,-0.95,0.02,0.96
0.3079261779785156,-0.18,-1.01,0.01,1.02
0.3179788589477539,-0.11,-1.06,0.03,1.06
0.32813215255737305,-0.07,-1.14,0.08,1.14
0.33907198905944824,-0.04,-1.23,0.14,1.23
0.34895896911621094,-0.08,-1.25,0.08,1.25
0.35864686965942383,-0.17,-1.22,0.04,1.23
0.36893606185913086,-0.17,-1.21,0.01,1.22
0.3951869010925293,-0.12,-1.13,-0.12,1.14
0.39667510986328125,-0.06,-1.01,-0.25,1.04
0.39849400520324707,-0.08,-0.92,-0.36,0.99
0.408689022064209,-0.18,-0.9,-0.43,1.01
0.41873788833618164,-0.17,-0.77,-0.48,0.92
0.4287559986114502,-0.25,-0.47,-0.33,0.62
0.43970203399658203,-0.3,-0.23,-0.14,0.4
0.44957494735717773,-0.23,-0.13,-0.12,0.29
0.45972204208374023,-0.06,-0.06,0.0,0.08
0.47022485733032227,0.4,0.04,0.28,0.48
0.49507617950439453,0.82,-0.2,0.43,0.94
0.4965071678161621,0.9,-0.31,0.45,1.05
0.4992220401763916,-0.24,0.25,0.3,0.45
0.5093460083007812,-1.25,1.77,-0.22,2.17
