time,wx,wy,wz
0.003177881,-0.87,-0.78,-0.22
0.013357878,-0.14,-0.31,-0.5
0.022803783,0.62,-0.09,-0.83
0.032858849,1.3,-0.28,-1.05
0.043772697,1.67,-0.52,-1.23
0.055276871,1.74,-0.69,-1.36
0.075547695,1.52,-0.56,-1.35
0.07592392,1.52,-0.56,-1.35
0.083097935,1.69,0.16,-1.11
0.092952728,2.1,1.23,-0.72
0.102851868,2.65,2.04,-0.5
0.112986803,3.16,2.11,-0.6
0.123045921,3.02,0.81,-0.96
0.132626772,2.11,-0.56,-1.22
0.143761873,1.01,-0.38,-1.07
0.155535698,0.06,0.2,-0.35
0.176205873,-0.18,0.54,0.79
0.176625729,-0.18,0.54,0.79
0.182710648,0.5,0.32,0.12
0.192817688,1.63,-0.56,-0.9
0.203154802,2.83,-1.39,-1.6
0.212941647,3.35,-1.81,-1.57
0.223799706,3.31,-2.23,-1.04
0.233032703,3.28,-2.75,-0.64
0.243014812,3.35,-3.83,-0.64
0.255169868,3.56,-4.96,-0.93
0.273183823,3.91,-6.31,-1.91
0.27350378,3.91,-6.31,-1.91
0.283268929,3.24,-5.89,-2.51
0.293069839,2.21,-6.58,-2.42
0.302827835,2.11,-5.18,-0.84
0.312905788,3.32,-2.53,-0.37
0.323964834,5.23,-2.64,-1.55
0.333272934,7.29,-3.17,-2.38
0.344009876,8.29,-3.54,-1.99
0.355789661,8.05,-4.56,-1.48
0.373282909,7.88,-5.99,-1.73
0.3735888,7.88,-5.99,-1.73
0.383095741,7.74,-7,-2.1
0.394362926,7.34,-8.3,-2.95
0.402755737,7.12,-9.16,-3.76
0.413033962,7.35,-9.54,-4.46
0.423082829,7.65,-9.5,-5.23
0.433795929,7.84,-8.47,-5.89
0.443360806,7.75,-7.89,-6.2
0.45544982,7.27,-7.91,-6.43
0.471650839,6.61,-8.17,-6.65
0.472863674,6.17,-8.5,-6.81
0.482821941,6.04,-8.41,-7.03
0.493151665,5.99,-7.81,-7.34
0.503048897,5.74,-6.88,-7.8
0.513109684,4.63,-4.69,-7.68
0.523155689,3.01,-1.6,-6.85
0.534118652,1.13,1.1,-5.72
0.544024944,-0.89,2.7,-4.31
0.554866791,0.04,3.28,-3.15
0.571059704,1.41,2.17,-1.37
0.572305679,2.17,0.62,0.84
0.58246994,2.19,-0.39,2.93
0.5932827,1.69,-0.18,4.56
0.603155851,1.09,0.31,5.88
0.613299847,0.73,0.43,7.04
0.624344826,0.64,0.87,8.05
0.633147717,0.52,1.87,8.94
0.643664837,0.33,2.75,9.35
0.655199766,-0.01,3.76,9.18
0.673820972,-1.02,5.33,8.57
0.674632788,-1.02,5.33,8.57
0.683119774,-1.39,5.57,8.34
0.693192959,-1.49,5.37,8.2
0.70309782,-1.46,4.93,8.16
0.71364975,-1.34,4.7,8.18
0.723369837,-1.34,4.96,8.25
0.733286858,-1.8,5.55,8.45
0.743423939,-2.37,6.06,8.83
0.755287647,-2.71,6.17,9.11
0.771960735,-2.72,5.3,9.42
0.773637772,-2.72,5.3,9.42
0.78288269,-2.54,5.04,9.52
0.792932987,-2.41,4.58,9.56
0.802456856,-2.23,4.1,9.5
0.812940836,-2.1,3.91,9.25
0.823188782,-2.3,4.18,8.89
0.834660769,-2.69,5.11,8.66
0.844120979,-3.05,6.11,8.46
0.855482817,-3.19,6.43,8.15
0.873592854,-2.55,4.82,7.41
0.873878956,-2.55,4.82,7.41
0.882913828,-2.2,3.96,6.8
0.893310785,-2.19,3.76,6.2
0.90313077,-2.39,4.07,5.44
0.914397717,-2.41,4.47,4.6
0.923698902,-1.97,4.87,3.78
0.933410883,-0.86,4.87,2.99
0.943627834,0.39,4.21,2.23
0.95539999,1.38,3.03,1.34
0.973374844,2.47,1.48,-0.73
0.974652767,2.47,1.48,-0.73
0.982875824,2.26,0.98,-1.93
0.993003845,1.45,0.51,-3.39
1.003198862,0.01,0.37,-5.06
1.012973785,-1.34,0.69,-6.48
1.024827957,-1.96,0.95,-7.65
1.033696651,-1.24,1.13,-8.59
1.043944836,0.75,1.33,-9.17
1.055824757,3.2,1.31,-9.52
1.073632717,7.4,-0.26,-9.69
1.074078798,7.4,-0.26,-9.69
1.083124876,9.07,-2.17,-9.81
1.093004704,10.29,-4.35,-10
1.103159904,11.12,-6.41,-10.06
1.113201857,11.41,-8.15,-10.01
1.123755932,10.84,-9.1,-9.84
1.132934809,8.88,-8.06,-9.52
1.143682957,6.72,-6.58,-9.15
1.155694962,5.2,-5.08,-9.01
1.173864841,3.41,-4.57,-8.44
1.174286842,3.41,-4.57,-8.44
1.182860851,3.24,-5.61,-8.24
1.193288803,4.25,-6.85,-8.28
1.203039646,5.86,-8.68,-8.13
1.214333773,7.32,-10.67,-7.92
1.223966837,7.76,-11.61,-7.75
1.233151913,5.86,-9.58,-7.4
1.244024754,2.77,-6,-7.3
1.256019831,-0.62,-1.8,-7.63
1.273975849,-3.16,4.51,-7.9
1.274814844,-3.16,4.51,-7.9
1.282854795,-1.27,4.37,-7.01
1.293096781,2.02,1.31,-5.55
1.303156853,4.87,-2.34,-4.49
1.314489841,5.25,-4.19,-4.08
1.323713779,3.41,-3.64,-3.52
1.333999872,0.86,-1.44,-2.43
1.343566895,-0.59,0.49,-1.29
1.355519772,-0.66,0.94,-0.17
1.373620987,0.5,0.2,2.03
1.373923779,0.5,0.2,2.03
1.385121822,0.64,-0.29,3.13
1.393111706,0.22,-0.55,4.03
1.403040886,-0.28,-0.4,4.66
1.412992001,-0.77,0.23,5.07
1.424513817,-0.98,0.95,5.34
1.433387756,-0.98,1.69,5.6
1.444478989,-0.99,2.7,6.04
1.456317902,-1.27,3.9,6.66
1.475041866,-2.89,5.61,8.27
1.475486755,-2.89,5.61,8.27
1.482861996,-3.72,6.16,9.35
1.493224859,-4.34,5.96,10.4
1.503348827,-4.72,5.25,11.08
1.51398468,-4.76,3.9,11.4
1.523504734,-4.27,2.61,11.41
1.533600807,-3.87,2.08,11.24
1.54357481,-3.56,2.75,10.58
1.555486679,-3.53,4.75,9.57
1.573494911,-4.26,7.12,8.27
1.573800802,-4.26,7.12,8.27
1.582570791,-4.28,6.93,7.9
1.593019962,-4.05,6.28,7.68
1.603046894,-3.78,5.28,7.65
1.613721848,-3.7,3.88,7.73
1.624225855,-3.66,2.96,7.86
1.633522987,-3.62,2.89,7.95
1.644254684,-4,3.61,7.89
1.653190851,-4.85,4.61,7.35
1.67381382,-7.95,6.39,5.82
1.674026966,-7.95,6.39,5.82
1.683152676,-9.09,6.13,5.61
1.693197727,-8.37,4.74,5.77
1.703142881,-6.28,3.05,6.18
1.713036776,-3.36,1.47,6.38
1.72405982,-0.78,0.91,6.17
1.732866764,0.87,0.84,5.87
1.744085789,1.86,1.09,5.43
1.753271818,2.43,1.12,4.75
1.772783756,3.23,-0.51,2.32
