time,ax,ay,az,atotal
0.013435125,0.21,-0.12,-0.61,0.65
0.018421888,1.11,-0.17,-0.67,1.3
0.028604984,2.27,0.43,0.14,2.31
0.038942099,2.31,0.68,1.22,2.69
0.049314022,1.4,1.16,2.32,2.94
0.063073874,0.77,1.5,1.53,2.27
0.079916,0.44,0.81,0.18,0.93
0.081321955,0.27,0.38,-1.9,1.95
0.088601828,-0.11,0.78,-2.14,2.28
0.098577976,-0.69,1.26,-0.84,1.66
0.108535051,-0.8,0.88,0.2,1.2
0.119235992,-0.29,0.23,0.46,0.59
0.129306078,0.15,0.08,-0.02,0.17
0.139209032,0.32,0.18,-0.2,0.41
0.149230957,0.8,0.29,-0.3,0.9
0.162974119,1.28,0.48,-0.6,1.49
0.182112932,0.98,0.47,-0.54,1.21
0.183578014,0.61,0.21,-0.57,0.86
0.188440084,0.66,0.13,-1.14,1.32
0.198640108,0.93,-0.3,-2.14,2.35
0.209113836,1.28,-0.87,-2.51,2.94
0.220914125,2.26,-1.64,-3.33,4.34
0.229063988,3.36,-2.13,-3.6,5.36
0.239123106,3.71,-1.68,-3.2,5.17
0.249078035,2.8,0.87,-3.77,4.77
0.263072014,0.58,4.19,-3.53,5.5
0.27878499,-0.42,3.58,0.85,3.7
0.280215025,-1.9,1.45,3.42,4.17
0.288522005,-2.21,1.44,1.39,2.98
0.298649073,-1.3,2.19,1.02,2.74
0.308470011,0.04,2.05,-0.85,2.21
0.31918788,1.54,1.3,-2.95,3.57
0.329200029,-0.01,2.41,-0.48,2.45
0.339540958,-0.45,4.09,4.9,6.39
0.34928298,0,4.64,8.79,9.93
0.364915133,-0.45,5.57,12.13,13.35
0.381000996,-1.84,7.25,15.9,17.57
0.382462025,-4.15,10.34,19.5,22.45
0.38845396,-5.69,12.89,24.31,28.09
0.399600983,-6.16,12.81,27.71,31.14
0.409149885,-4.69,12.53,27.38,30.47
0.419288874,-2.49,12.18,26.67,29.42
0.429358959,0.7,10.83,23.24,25.64
0.439595938,1.93,9.53,20.36,22.56
0.449340105,1.3,8.19,17.49,19.35
0.463136911,-0.99,8.44,14.65,16.93
0.480623007,-3.64,8.47,13.12,16.03
0.482053041,-6.15,7.42,12.22,15.56
0.488489866,-9.14,7.52,11.99,16.84
0.498672962,-12.83,6.63,11.86,18.68
0.508498907,-15.76,4.01,11.41,19.86
0.519175053,-16.3,0.98,12.51,20.57
0.529397011,-15.78,-1.9,13.77,21.02
0.539530993,-14.67,-4.86,13.13,20.27
0.549320936,-15.86,-6.44,11.68,20.72
0.563257933,-19.76,-7.71,10.04,23.46
0.578848124,-23.74,-8.63,10.15,27.22
0.580307961,-26.17,-9.27,11.77,30.15
0.588981867,-27.05,-10.6,14.99,32.69
0.599735975,-27.25,-11.74,18.7,35.07
0.60888195,-28.09,-12.4,21.73,37.61
0.619248152,-28.28,-13.17,23.99,39.35
0.629426003,-27.41,-14.83,25.44,40.22
0.639317989,-26.17,-15.98,25.63,39.96
0.649348021,-23.87,-17.27,25.16,38.74
0.663280964,-21.21,-18.85,25.92,38.43
0.679286957,-18.9,-19.71,26.62,38.13
0.680807829,-17.02,-20.55,26.88,37.87
0.689075947,-14.2,-22.08,26.91,37.59
0.698487043,-13.16,-21.9,26.28,36.65
0.708979845,-12.83,-21.66,25.21,35.62
0.718687057,-11.58,-24.49,22.54,35.24
0.729409933,-9.33,-26.84,16.22,32.71
0.739173174,-5.9,-30.87,8.75,32.62
0.74932003,-0.54,-36.86,0.71,36.87
0.763010025,6.86,-43.09,-8.66,44.48
0.779805899,11.74,-46.03,-17.61,50.66
0.781286955,13.51,-48.18,-25.99,56.38
0.788471937,16.37,-50.8,-32.2,62.33
0.799023867,20.53,-54.3,-37.55,69.13
0.808965921,24.06,-55.33,-40.96,72.92
0.81931901,26.2,-55.86,-40.04,73.55
0.82941103,25.56,-55.14,-35.35,70.3
0.839287043,22.38,-54.04,-26.7,64.29
0.849367857,17.8,-53.69,-14.76,58.45
0.863270044,10.41,-53.04,0.46,54.05
0.879469156,-0.43,-51.04,18.86,54.41
0.880910158,-12.93,-46.99,37.13,61.26
0.888509989,-22.6,-41.83,48.72,68.07
0.899069071,-28.13,-35.88,53.8,70.52
0.909029007,-30.13,-31.76,52.3,68.2
0.919505835,-28.1,-29.49,46.54,61.84
0.929378986,-23.36,-28.48,40.43,54.69
0.939515829,-18.69,-26.7,35.67,48.31
0.949324846,-15.73,-25.02,31.93,43.5
0.963698149,-14.04,-24.1,29.07,40.28
0.97894001,-13.29,-23.09,27.51,38.29
0.980401993,-13.52,-22.87,27.31,38.1
0.989334822,-14.06,-22.61,25.83,37.09
0.999011993,-15.22,-22.17,23.54,35.73
1.009248018,-17.11,-21.96,21.94,35.44
1.019279003,-19.16,-20.08,20.17,34.3
1.029350042,-21.49,-15.48,19.5,32.88
1.039227009,-22.24,-8.78,20.71,31.63
1.049401045,-21.05,0.63,23.49,31.54
1.063145876,-18.33,9.21,23.83,31.44
1.079447985,-15.09,16.01,20.5,30.07
1.080909014,-13.48,21.56,16.11,30.1
1.088598967,-15.99,27.58,14.22,34.9
1.098582029,-20.59,33.57,15.66,42.38
1.10929513,-25.7,39.67,19.35,51.07
1.119236946,-30.8,45.06,25.87,60.4
1.129291058,-33.49,48.29,35.16,68.48
1.139199972,-33.73,49.05,43.27,73.59
1.149473906,-32.7,47.13,45.8,73.4
1.163725138,-30.81,43.96,44.51,69.73
1.179240942,-27.8,38.97,44.09,65.08
1.180696964,-25.55,33.82,43.95,61.05
1.189028978,-25.83,29.55,42.13,57.57
