time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002,-0.36,-0.42,-0.25
0.003,-0.38,-0.46,-0.27
0.003,-0.40,-0.49,-0.29
0.003,-0.40,-0.52,-0.31
0.003,-0.41,-0.55,-0.32
0.004,-0.40,-0.59,-0.33
0.007,-0.40,-0.63,-0.34
0.009,-0.39,-0.68,-0.34
0.010,-0.39,-0.72,-0.34
0.013,-0.38,-0.75,-0.34
0.014,-0.38,-0.79,-0.35
0.016,-0.38,-0.81,-0.35
0.018,-0.39,-0.84,-0.35
0.021,-0.40,-0.89,-0.35
0.022,-0.41,-0.93,-0.35
0.027,-0.43,-0.96,-0.34
0.028,-0.45,-0.98,-0.34
0.030,-0.48,-1.00,-0.34
0.030,-0.51,-1.01,-0.34
0.033,-0.55,-1.02,-0.34
0.035,-0.59,-1.02,-0.35
0.036,-0.64,-1.03,-0.36
0.038,-0.69,-1.02,-0.37
0.041,-0.76,-1.01,-0.39
0.043,-0.81,-1.00,-0.42
0.044,-0.88,-0.97,-0.44
0.046,-0.94,-0.94,-0.46
0.048,-1.00,-0.93,-0.48
0.051,-1.06,-0.93,-0.51
0.053,-1.11,-0.94,-0.54
0.055,-1.16,-0.94,-0.57
0.057,-1.21,-0.94,-0.61
0.059,-1.27,-0.92,-0.65
0.061,-1.31,-0.89,-0.69
0.062,-1.35,-0.86,-0.73
0.066,-1.39,-0.83,-0.78
0.067,-1.43,-0.80,-0.81
0.069,-1.46,-0.77,-0.85
0.070,-1.49,-0.74,-0.88
0.074,-1.52,-0.71,-0.91
0.076,-1.55,-0.68,-0.94
0.076,-1.58,-0.65,-0.97
0.081,-1.60,-0.61,-0.99
0.081,-1.63,-0.55,-1.01
0.083,-1.66,-0.47,-1.02
0.084,-1.69,-0.40,-1.02
0.086,-1.71,-0.34,-1.02
0.088,-1.74,-0.30,-1.01
0.092,-1.77,-0.26,-0.99
0.093,-1.79,-0.25,-0.97
0.094,-1.81,-0.24,-0.94
0.097,-1.84,-0.25,-0.90
0.098,-1.85,-0.27,-0.86
0.101,-1.87,-0.30,-0.80
0.103,-1.89,-0.33,-0.75
0.105,-1.91,-0.37,-0.69
0.109,-1.91,-0.42,-0.62
0.110,-1.92,-0.47,-0.56
0.112,-1.94,-0.52,-0.50
0.112,-1.95,-0.57,-0.44
