time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,1.1322,-1.5609,-1.5614,2.481
0.007000,0.9432,-1.6024,-1.6696,2.499
0.007000,0.7071,-1.5586,-0.8020,1.890
0.008000,0.3653,-1.4199,0.4423,1.531
0.015000,0.0945,-1.3770,1.2760,1.880
0.016000,-0.3662,-1.4768,1.8477,2.394
0.021000,-1.1141,-1.5996,2.4471,3.129
0.026000,-1.7218,-1.7244,3.0923,3.937
0.030000,-2.1470,-1.8272,3.7149,4.664
0.035000,-2.4855,-1.6361,3.9822,4.971
0.041000,-2.4843,-1.2063,4.0540,4.905
0.046000,-2.1209,-0.6936,4.1328,4.697
0.052000,-1.3148,-0.3302,3.8707,4.101
0.056000,-0.1179,-0.1405,3.0008,3.006
0.062000,1.2032,-0.1957,2.0782,2.409
0.066000,2.0893,-0.0792,0.6578,2.192
0.070000,2.7840,-0.0557,-0.7177,2.876
0.076000,3.1001,-0.0575,-2.1660,3.782
0.081000,2.8740,-0.5270,-3.1671,4.309
0.086000,1.8452,-1.5813,-3.6866,4.415
0.092000,1.8336,-2.2620,-4.9890,5.777
0.097000,1.1650,-2.1939,-5.2364,5.796
0.101000,0.4842,-2.0836,-6.2523,6.608
0.107000,-0.0480,-1.9680,-5.8431,6.166
0.111000,-0.9993,-1.4468,-4.9492,5.252
0.117000,-2.5530,-0.8348,-3.6483,4.530
0.121000,-3.2439,-0.2354,-2.1579,3.903
0.127000,-3.3205,0.2238,-1.3107,3.577
0.131000,-3.1666,0.4724,-1.1333,3.396
0.136000,-2.5641,0.4136,-1.3377,2.922
0.142000,-1.7805,0.1832,-2.1494,2.797
0.147000,-0.8855,0.0159,-2.4910,2.644
0.151000,0.1308,-0.1626,-1.6463,1.659
0.156000,0.9530,-0.3586,-0.8363,1.318
0.161000,1.3950,-0.1359,0.7705,1.599
0.167000,1.4568,0.3206,0.6186,1.615
0.172000,0.9272,1.0051,1.2812,1.874
0.177000,-0.3141,1.7295,2.5585,3.104
0.181000,-0.4464,1.8087,3.5381,3.999
0.186000,0.4358,1.3416,3.6908,3.951
0.193000,1.4207,0.5674,3.1075,3.464
0.197000,2.0147,-0.1609,2.1357,2.940
0.201000,2.2565,-0.8536,1.1258,2.662
0.207000,2.3119,-1.5112,0.0888,2.763
0.212000,2.2209,-2.1152,-0.9068,3.198
0.217000,1.9552,-2.6707,-1.9213,3.827
0.222000,1.9329,-2.7165,-2.5833,4.218
0.227000,1.9877,-2.2786,-3.0261,4.278
0.233000,1.6720,-2.0257,-3.0695,4.040
0.237000,1.0982,-1.6024,-2.5177,3.180
0.243000,0.3641,-1.2846,-1.5492,2.045
0.247000,-0.0815,-1.3160,-0.4582,1.396
0.252000,0.2579,-2.2873,2.8384,3.654
0.257000,1.0791,-4.1206,10.1766,11.032
0.262000,0.4123,-4.5968,10.1774,11.175
0.267000,-0.5499,-2.1751,4.3024,4.852
0.272000,-0.8689,0.3369,1.5834,1.837
0.277000,-1.1480,1.2494,-0.1165,1.701
0.281000,-0.2324,1.5032,0.0725,1.523
0.286000,1.4151,1.0560,1.8888,2.586
0.292000,2.8786,0.1555,3.3434,4.415
0.297000,3.3532,-0.4290,3.1018,4.588
0.301000,3.1627,-0.6358,2.3875,4.013
0.308000,2.8155,-0.5641,1.5282,3.253
