time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.2041,0.2627,-1.0315,1.084
0.005000,-0.2386,0.2773,-1.1284,1.186
0.013000,-0.3908,0.2335,-1.1079,1.198
0.029000,-0.5530,0.1684,-0.6959,0.905
0.030000,-0.4949,0.0823,-0.1658,0.528
0.038000,-0.3153,-0.0542,0.2858,0.429
0.048000,-0.0254,-0.1269,0.4195,0.439
0.062000,0.1978,-0.1690,0.3445,0.432
0.069000,0.3334,-0.2065,0.2870,0.486
0.078000,0.2922,-0.2134,0.1403,0.388
0.088000,0.2034,-0.2297,-0.1238,0.331
0.102000,0.1573,-0.2231,-0.4315,0.511
0.108000,0.2805,-0.1084,-0.4835,0.569
0.119000,0.1890,-0.1748,-0.4636,0.530
0.128000,0.2263,-0.1378,-0.2633,0.374
0.138000,0.2335,-0.1441,-0.1060,0.294
0.150000,0.1103,-0.1576,-0.0689,0.204
0.158000,-0.0341,-0.0715,-0.0525,0.095
0.168000,-0.1586,-0.0508,0.0111,0.167
0.179000,-0.1793,-0.0667,0.1702,0.256
0.195000,-0.1144,-0.0872,0.2955,0.329
0.198000,-0.0335,-0.1025,0.2398,0.263
0.208000,0.0277,-0.1189,0.0969,0.156
0.219000,0.0729,-0.1271,0.0247,0.149
0.228000,0.0106,-0.1353,-0.0668,0.151
0.239000,-0.0500,-0.1342,-0.0792,0.164
0.248000,-0.0537,-0.1235,-0.0426,0.141
0.259000,-0.0141,-0.1070,-0.0127,0.109
0.268000,0.0819,-0.0755,-0.0171,0.113
0.278000,0.0839,-0.0383,-0.1162,0.148
0.288000,0.0706,0.0528,-0.2797,0.293
0.300000,0.3302,0.1153,-0.5805,0.678
0.308000,0.5861,0.1105,-0.7448,0.954
0.319000,0.8525,0.1257,-0.8195,1.189
0.328000,1.0414,0.0628,-0.6660,1.238
0.345000,1.2472,0.0843,-0.4842,1.341
0.348000,1.2983,0.0694,-0.3317,1.342
0.358000,1.1672,-0.0146,-0.4057,1.236
0.368000,1.1301,0.0158,-0.7395,1.351
0.379000,1.1053,0.0002,-0.8710,1.407
0.388000,1.0923,-0.0817,-0.7972,1.355
0.398000,1.0673,-0.0934,-0.6583,1.257
0.408000,0.7398,-0.1011,-0.5553,0.931
0.419000,0.3308,-0.1288,-0.7027,0.787
0.429000,-0.1673,-0.1702,-1.1135,1.139
0.438000,-0.4618,-0.2057,-1.4879,1.571
0.448000,-0.4470,-0.5093,-1.3498,1.510
0.458000,-0.2587,-1.0684,-0.4352,1.182
0.473000,-0.5043,-1.1087,-1.8994,2.256
0.480000,-0.0174,-0.5309,-1.2013,1.313
0.489000,-0.7495,-0.3816,-0.7764,1.145
0.502000,-1.5767,-0.2742,0.1956,1.612
0.508000,-1.4413,0.1965,2.2013,2.638
0.519000,-1.2831,0.3476,1.0389,1.687
0.528000,-1.4033,-0.1244,-0.4317,1.473
0.538000,-0.6530,-0.2777,-2.2048,2.316
0.548000,0.1966,-0.3705,-3.5065,3.531
0.558000,1.3623,-0.0132,-4.1741,4.391
0.568000,1.4000,0.1015,-4.6619,4.869
0.579000,1.2156,0.0607,-4.2278,4.400
0.588000,0.7010,-0.4437,-4.3102,4.389
0.598000,-0.3229,-0.9146,-5.1053,5.197
0.609000,-0.8988,-0.4434,-6.0790,6.161
0.620000,-0.3082,1.2293,-8.0767,8.176
0.628000,-0.9762,0.6893,-9.4451,9.520
0.638000,-1.5325,-2.5061,-10.6079,11.007
0.648000,-1.1361,-2.5496,-10.8685,11.221
0.662000,0.1670,-0.3220,-8.4639,8.472
0.683000,0.8626,-0.8184,-6.0416,6.157
0.685000,0.3310,-2.3155,-5.7302,6.189
0.702000,-0.3757,-3.2345,-7.7727,8.427
0.705000,-0.4291,-4.1476,-9.4095,10.292
0.708000,0.0533,-4.8267,-10.7970,11.827
0.727000,0.0874,-5.5317,-12.1330,13.335
0.729000,-0.6797,-5.8419,-11.2638,12.707
0.740000,-1.7148,-6.2153,-8.2136,10.442
0.748000,-1.1711,-6.6666,-8.3481,10.747
0.758000,0.7691,-6.1090,-7.6556,9.824
0.774000,1.3249,-4.5493,-1.2063,4.889
0.778000,2.3268,-4.8571,-2.1455,5.797
0.788000,1.7486,-7.3932,-5.3695,9.303
0.798000,0.3515,-9.1675,-6.7971,11.418
0.810000,-1.2659,-10.4908,-7.1897,12.781
0.828000,-1.0246,-11.2290,-7.2551,13.408
0.831000,2.9221,-9.9129,-6.3965,12.154
0.840000,8.1674,-4.9934,-4.9806,10.791
0.849000,11.5893,-0.5776,-5.9488,13.040
0.858000,12.7819,3.1227,-8.5329,15.682
0.870000,13.0215,5.6251,-11.6351,18.346
0.878000,13.2530,7.3809,-14.9066,21.268
0.891000,13.4510,9.0841,-17.5642,23.916
0.905000,15.2362,11.0656,-19.3608,27.008
0.909000,19.6340,13.5103,-20.6515,31.536
0.919000,23.1936,15.1458,-21.0325,34.781
0.930000,20.8421,14.2997,-20.7944,32.730
0.939000,15.8497,12.5062,-18.9973,27.722
0.949000,12.4844,11.5561,-16.5834,23.757
0.959000,14.0928,12.7187,-13.7171,23.421
0.968000,20.5192,16.2207,-12.1006,28.820
0.979000,25.3168,19.6769,-11.0110,33.902
0.989000,24.8428,21.1439,-9.0149,33.845
0.999000,20.3366,20.9536,-7.5336,30.156
1.009000,16.0385,19.7979,-6.1977,26.222
1.026000,12.3129,18.6800,-5.8430,23.123
1.028000,10.1174,18.2016,-7.1840,22.029
1.048000,9.9857,17.0107,-9.5692,21.924
1.051000,9.5066,15.0646,-10.8503,20.858
1.059000,8.2392,12.8885,-11.2626,18.996
1.070000,7.2747,10.4539,-11.2496,16.993
1.079000,8.5191,7.5906,-10.2744,15.354
1.088000,13.2013,5.6056,-8.5151,16.679
1.098000,18.7150,3.3229,-5.3469,19.745
1.109000,22.2830,1.1134,-1.3694,22.353
1.121000,24.4189,-0.9183,2.7134,24.586
1.128000,26.2709,-3.4320,6.1161,27.191
1.139000,26.2300,-6.2280,6.7162,27.783
1.148000,23.1032,-8.3024,10.1272,26.557
1.159000,19.1973,-9.5358,12.8099,24.971
1.175000,17.9129,-10.0524,15.3600,25.649
1.178000,17.6724,-10.4551,16.3016,26.218
1.194000,17.6244,-11.8558,14.8046,25.891
1.198000,17.8258,-12.7287,11.0329,24.526
1.208000,17.9282,-13.1016,6.7662,23.213
1.220000,18.9654,-12.5521,2.2378,22.853
1.228000,19.3700,-11.7336,-1.4616,22.694
1.238000,20.5927,-10.7124,-4.6298,23.670
1.248000,22.7568,-9.6257,-7.7260,25.889
1.259000,24.2477,-9.9644,-9.9883,28.054
1.269000,24.3809,-10.6419,-11.3004,28.903
1.279000,23.2340,-11.6265,-11.9692,28.605
1.289000,20.3591,-12.3412,-11.0652,26.253
1.300000,17.9513,-12.1383,-9.4165,23.627
1.310000,16.1425,-12.4224,-7.5752,21.732
1.328000,15.1276,-13.0783,-5.5891,20.764
1.331000,14.7266,-12.7256,-3.1144,19.711
1.339000,14.4922,-12.0453,-1.1306,18.878
1.348000,13.7055,-12.0863,0.0554,18.274
1.358000,12.7681,-12.8052,-0.1469,18.084
1.369000,12.1159,-13.6280,-0.7441,18.250
1.379000,12.5978,-14.5422,-1.6055,19.307
1.388000,12.9135,-16.0962,-2.6151,20.801
1.399000,12.7250,-17.3590,-3.1507,21.753
1.408000,9.9331,-17.2848,-4.0993,20.353
1.418000,4.3165,-17.0133,-4.0518,18.014
1.430000,-3.4291,-18.7487,-4.1376,19.504
1.438000,-13.6882,-23.6037,-6.0822,27.955
1.448000,-23.0041,-28.7672,-10.0759,38.187
1.459000,-30.4585,-32.5356,-14.1015,46.745
