time,wx,wy,wz
0.00640106201171875,-0.1,0.14,0.09
0.017010211944580078,0.04,0.27,0.06
0.027036190032958984,0.15,0.38,0.05
0.03719806671142578,0.18,0.41,0.06
0.05024528503417969,0.15,0.31,0.07
0.06958317756652832,-0.06,-0.02,0.02
0.0698709487915039,-0.06,-0.02,0.02
0.07686209678649902,-0.18,-0.13,0.01
0.08682918548583984,-0.25,-0.2,0.01
0.09693622589111328,-0.27,-0.22,0.04
0.10800313949584961,-0.21,-0.19,0.08
0.11778497695922852,-0.14,-0.15,0.09
0.12749624252319336,-0.05,-0.12,0.08
0.13805627822875977,0.01,-0.0,0.08
0.15143728256225586,0.04,0.07,0.08
0.17437410354614258,0.08,0.09,0.1
0.1746671199798584,0.08,0.09,0.1
0.17734909057617188,0.1,0.16,0.12
0.1877121925354004,0.16,0.3,0.19
0.19757604598999023,0.22,0.42,0.27
0.20775413513183594,0.26,0.48,0.36
0.21851205825805664,0.27,0.5,0.45
0.22840023040771484,0.26,0.42,0.49
0.23874807357788086,0.2,0.27,0.49
0.25095701217651367,0.12,0.09,0.49
0.27048301696777344,-0.03,-0.34,0.54
0.27077507972717285,-0.03,-0.34,0.54
0.2781531810760498,-0.06,-0.52,0.56
0.2882981300354004,-0.04,-0.64,0.58
0.2983732223510742,0.01,-0.65,0.58
0.3093540668487549,0.09,-0.52,0.61
0.3194100856781006,0.22,-0.35,0.69
0.329970121383667,0.38,-0.09,0.7
0.3394770622253418,0.57,0.22,0.68
0.35172414779663086,0.81,0.58,0.61
0.37349915504455566,1.19,1.51,0.45
0.37417125701904297,1.19,1.51,0.45
0.37883996963500977,1.27,1.93,0.46
0.3889350891113281,1.26,2.19,0.55
0.3992891311645508,1.24,2.31,0.67
0.4100301265716553,1.33,2.21,0.74
0.4200310707092285,1.55,1.94,0.65
0.43024396896362305,1.77,1.62,0.45
0.4399232864379883,1.82,1.25,0.23
0.4520292282104492,1.51,0.42,-0.04
0.47095203399658203,0.59,0.47,-0.13
0.4712381362915039,0.59,0.47,-0.13
0.47960329055786133,0.19,0.13,-0.11
